Iterations,Search,Insert
0,3.3921e-07,4.5993e-07
1,4.6192e-07,7.1306e-07
2,7.231e-07,1.10234e-06
3,8.1293e-07,1.48279e-06
4,9.845e-07,1.95678e-06
5,1.11446e-06,2.20887e-06
6,1.37745e-06,2.60414e-06
7,1.63151e-06,3.01357e-06
8,2.00197e-06,3.3697e-06
9,2.20362e-06,3.7366e-06
10,2.05828e-06,4.18256e-06
11,2.63873e-06,4.61169e-06
12,2.54605e-06,4.52046e-06
13,2.41522e-06,4.99813e-06
14,2.74061e-06,4.77469e-06
15,2.57701e-06,4.94339e-06
16,2.87205e-06,5.25989e-06
17,3.14029e-06,5.57069e-06
18,2.73532e-06,5.98376e-06
19,3.41404e-06,5.99117e-06
20,3.37721e-06,6.31085e-06
21,4.0124e-06,6.61061e-06
22,3.72627e-06,6.91122e-06
23,3.93532e-06,7.19532e-06
24,5.20366e-06,7.98915e-06
25,4.46892e-06,8.3126e-06
26,4.43039e-06,8.1396e-06
27,4.30182e-06,8.41271e-06
28,4.51631e-06,8.73551e-06
29,4.26176e-06,9.03795e-06
30,5.44543e-06,9.34396e-06
31,5.87585e-06,9.62283e-06
32,5.65771e-06,1.0264e-05
33,5.73733e-06,1.02463e-05
34,5.52971e-06,1.05829e-05
35,5.76563e-06,1.08533e-05
36,6.16509e-06,1.10395e-05
37,6.2795e-06,1.11094e-05
38,6.25852e-06,1.14068e-05
39,7.83826e-06,1.17056e-05
40,7.87012e-06,1.51003e-05
41,7.61871e-06,1.56145e-05
42,1.05262e-05,1.4536e-05
43,7.14061e-06,1.5733e-05
44,8.67839e-06,1.78145e-05
45,8.47587e-06,1.68734e-05
46,7.2455e-06,1.62345e-05
47,6.81247e-06,1.39882e-05
48,6.17545e-06,1.32256e-05
49,6.97441e-06,1.46055e-05
50,8.04721e-06,1.37718e-05
51,7.92882e-06,1.40757e-05
52,6.68255e-06,1.4884e-05
53,8.14434e-06,1.46388e-05
54,7.9318e-06,1.4869e-05
55,8.17051e-06,1.5166e-05
56,8.21047e-06,1.5439e-05
57,8.3108e-06,1.57183e-05
58,8.49466e-06,1.68859e-05
59,8.53526e-06,1.62619e-05
60,9.0852e-06,1.65387e-05
61,1.17418e-05,2.0901e-05
62,1.10282e-05,2.43331e-05
63,1.20188e-05,2.25579e-05
64,1.20213e-05,2.27157e-05
65,1.24413e-05,2.29408e-05
66,1.0826e-05,2.10971e-05
67,1.11843e-05,2.02042e-05
68,1.06534e-05,2.08204e-05
69,1.09755e-05,2.11055e-05
70,1.02908e-05,2.11359e-05
71,1.07938e-05,2.16287e-05
72,1.19407e-05,2.17805e-05
73,1.18163e-05,2.2074e-05
74,1.3067e-05,2.24317e-05
75,1.21325e-05,2.2704e-05
76,1.44702e-05,2.74418e-05
77,1.39456e-05,2.71494e-05
78,1.38676e-05,2.76517e-05
79,1.61353e-05,2.9674e-05
80,1.21589e-05,2.49548e-05
81,1.29874e-05,2.46588e-05
82,1.36982e-05,2.51991e-05
83,1.42504e-05,2.51941e-05
84,1.32821e-05,2.54682e-05
85,1.37271e-05,2.62824e-05
86,1.45262e-05,2.6396e-05
87,1.37582e-05,2.71917e-05
88,1.53984e-05,2.8528e-05
89,1.86784e-05,3.20495e-05
90,1.74773e-05,3.1627e-05
91,1.75294e-05,3.18615e-05
92,1.44713e-05,2.79641e-05
93,1.59702e-05,2.83992e-05
94,1.49076e-05,2.87585e-05
95,1.58559e-05,2.8923e-05
96,1.62633e-05,2.9225e-05
97,1.55843e-05,2.95618e-05
98,1.68256e-05,2.98766e-05
99,1.69838e-05,3.33618e-05
