Iterations,Time
0, 8.954e-06
1, 1.3967e-05
2, 2.0104e-05
3, 2.572e-05
4, 3.2504e-05
5, 3.9772e-05
6, 4.6496e-05
7, 5.4743e-05
8, 6.2262e-05
9, 7.0826e-05
10, 7.9656e-05
11, 8.5486e-05
12, 9.2808e-05
13, 0.00010048
14, 0.000107825
15, 0.000115278
16, 0.000124026
17, 0.000131405
18, 0.000139161
19, 0.000146188
20, 0.000153182
21, 0.000160625
22, 0.000238239
23, 0.000225046
24, 0.000183874
25, 0.000191599
26, 0.000196458
27, 0.000206354
28, 0.000220304
29, 0.000211786
30, 0.000223312
31, 0.000225527
32, 0.000233559
33, 0.000245586
34, 0.000246988
35, 0.000253848
36, 0.000260556
37, 0.000266173
38, 0.000290261
39, 0.000281653
40, 0.000291165
41, 0.00029695
42, 0.000301936
43, 0.0003194
44, 0.000307058
45, 0.000316032
46, 0.000323267
47, 0.000329374
48, 0.000335386
49, 0.000343565
50, 0.000350904
51, 0.000360814
52, 0.000370646
53, 0.000358508
54, 0.000376365
55, 0.000357361
56, 0.000364524
57, 0.000405059
58, 0.000415814
59, 0.000465419
60, 0.000479015
61, 0.000422981
62, 0.000419545
63, 0.000427571
64, 0.000438467
65, 0.000421032
66, 0.000431711
67, 0.00044089
68, 0.000452629
69, 0.000577587
70, 0.000609562
71, 0.000744356
72, 0.000709081
73, 0.000634295
74, 0.000654605
75, 0.000539908
76, 0.000517987
77, 0.00052642
78, 0.00052689
79, 0.000563604
80, 0.000632536
81, 0.000562757
82, 0.000600609
83, 0.000544162
84, 0.000548726
85, 0.000559105
86, 0.000759883
87, 0.000584981
88, 0.000565616
89, 0.000570392
90, 0.000616413
91, 0.000574083
92, 0.000584962
93, 0.000567349
94, 0.000604823
95, 0.000609623
96, 0.000587925
97, 0.000592827
98, 0.000598502
99, 0.000670371
